benchmark	status	openmp	unique_shared_lines
DRB163-simdmissinglock1-orig-gpu-no	OK_RUN	yes	1
DRB164-simdmissinglock1-orig-gpu-yes	OK_RUN	yes	2
DRB165-taskdep4-orig-omp50-yes	COMPILE_FAIL	yes	0
DRB166-taskdep4-orig-omp50-no	COMPILE_FAIL	yes	0
DRB167-taskdep4-orig-omp50-no	COMPILE_FAIL	yes	0
DRB168-taskdep5-orig-omp50-yes	COMPILE_FAIL	yes	0
DRB169-missingsyncwrite-orig-yes	OK_RUN	yes	2
DRB170-nestedloops-orig-no	OK_RUN	yes	1
DRB171-threadprivate3-orig-no	OK_RUN	yes	0
DRB172-critical2-orig-no	OK_RUN	yes	4
DRB173-non-sibling-taskdep-yes	OK_RUN	yes	6
DRB174-non-sibling-taskdep-no	OK_RUN	yes	3
DRB175-non-sibling-taskdep2-yes	OK_RUN	yes	3
DRB176-fib-taskdep-no	OK_RUN	yes	7
DRB177-fib-taskdep-yes	OK_RUN	yes	7
DRB178-input-dependence-var-yes	OK_RUN	yes	4
DRB179-thread-sensitivity-yes	OK_RUN	yes	3
DRB180-miniAMR-yes	TIMEOUT	yes	0
DRB181-SmithWaterman-yes	TIMEOUT	yes	0
DRB182-atomic3-no	OK_RUN	yes	3
DRB183-atomic3-yes	OK_RUN	yes	3
DRB184-barrier1-no	TIMEOUT	yes	0
DRB185-barrier1-yes	OK_RUN	yes	11
DRB186-barrier2-no	OK_RUN	yes	2
DRB187-barrier2-yes	OK_RUN	yes	2
DRB188-barrier3-no	OK_RUN	yes	9
DRB189-barrier3-yes	OK_RUN	yes	7
DRB190-critical-section2-no	TIMEOUT	yes	0
DRB191-critical-section2-yes	TIMEOUT	yes	0
DRB192-critical-section3-no	OK_RUN	yes	3
DRB193-critical-section3-yes	OK_RUN	yes	3
DRB194-diffusion1-no	OK_RUN	yes	9
DRB195-diffusion1-yes	RUNTIME_FAIL	yes	0
DRB196-diffusion2-no	OK_RUN	yes	5
DRB197-diffusion2-yes	OK_RUN	yes	5
DRB198-prodcons-no	TIMEOUT	yes	0
DRB199-prodcons-yes	TIMEOUT	yes	0
DRB200-sync1-no	OK_RUN	yes	2
DRB201-sync1-yes	OK_RUN	yes	2
DRB202-simd-broadcast-yes	TIMEOUT	yes	0
DRB203-simd-broadcast-no	TIMEOUT	yes	0
DRB204-simd-gather-yes	TIMEOUT	yes	0
DRB205-simd-gatherscatter-no	TIMEOUT	yes	0
DRB206-simd-scatter-yes	TIMEOUT	yes	0
DRB207-simd-loadstore-yes	TIMEOUT	yes	0
DRB208-simd-loadstore-no	TIMEOUT	yes	0
